Year,Suburb,Buy Price
2007,ABBOTSFORD,607000
2008,ABBOTSFORD,600000
2009,ABBOTSFORD,648500
2010,ABBOTSFORD,733000
2011,ABBOTSFORD,730000
2012,ABBOTSFORD,714000
2013,ABBOTSFORD,792500
2014,ABBOTSFORD,865000
2015,ABBOTSFORD,925000
2016,ABBOTSFORD,1187500
2017,ABBOTSFORD,1290000
2007,ABERFELDIE,725000
2008,ABERFELDIE,710000
2009,ABERFELDIE,786500
2010,ABERFELDIE,1046500
2011,ABERFELDIE,994000
2012,ABERFELDIE,855000
2013,ABERFELDIE,947500
2014,ABERFELDIE,1045000
2015,ABERFELDIE,1207500
2016,ABERFELDIE,1300000
2017,ABERFELDIE,1407500
2007,AINTREE,-
2008,AINTREE,-
2009,AINTREE,-
2010,AINTREE,-
2011,AINTREE,-
2012,AINTREE,-
2013,AINTREE,-
2014,AINTREE,-
2015,AINTREE,680500
2016,AINTREE,640000
2017,AINTREE,575000
2007,AIREYS INLET,445000
2008,AIREYS INLET,517500
2009,AIREYS INLET,515000
2010,AIREYS INLET,606000
2011,AIREYS INLET,680000
2012,AIREYS INLET,634000
2013,AIREYS INLET,664000
2014,AIREYS INLET,625500
2015,AIREYS INLET,680000
2016,AIREYS INLET,715000
2017,AIREYS INLET,737500
2007,AIRPORT WEST,389500
2008,AIRPORT WEST,425000
2009,AIRPORT WEST,456000
2010,AIRPORT WEST,575000
2011,AIRPORT WEST,557000
2012,AIRPORT WEST,495000
2013,AIRPORT WEST,532000
2014,AIRPORT WEST,575000
2015,AIRPORT WEST,635000
2016,AIRPORT WEST,745000
2017,AIRPORT WEST,843500
2007,ALBANVALE,215000
2008,ALBANVALE,252000
2009,ALBANVALE,280000
2010,ALBANVALE,320000
2011,ALBANVALE,317000
2012,ALBANVALE,310000
2013,ALBANVALE,313000
2014,ALBANVALE,326500
2015,ALBANVALE,345000
2016,ALBANVALE,439000
2017,ALBANVALE,526500
2007,ALBERT PARK,990000
2008,ALBERT PARK,1125000
2009,ALBERT PARK,1050000
2010,ALBERT PARK,1167500
2011,ALBERT PARK,1390000
2012,ALBERT PARK,1265000
2013,ALBERT PARK,1360000
2014,ALBERT PARK,1503000
2015,ALBERT PARK,1705000
2016,ALBERT PARK,1775000
2017,ALBERT PARK,2150000
2007,ALBION,262000
2008,ALBION,322500
2009,ALBION,349000
2010,ALBION,440000
2011,ALBION,400000
2012,ALBION,379500
2013,ALBION,379000
2014,ALBION,432000
2015,ALBION,481000
2016,ALBION,593000
2017,ALBION,717000
2007,ALEXANDRA,207000
2008,ALEXANDRA,205000
2009,ALEXANDRA,220000
2010,ALEXANDRA,230000
2011,ALEXANDRA,255000
2012,ALEXANDRA,239000
2013,ALEXANDRA,261000
2014,ALEXANDRA,247500
2015,ALEXANDRA,285000
2016,ALEXANDRA,275000
2017,ALEXANDRA,288000
2007,ALFREDTON,300000
2008,ALFREDTON,300000
2009,ALFREDTON,300000
2010,ALFREDTON,316000
2011,ALFREDTON,333000
2012,ALFREDTON,340000
2013,ALFREDTON,361500
2014,ALFREDTON,362000
2015,ALFREDTON,340500
2016,ALFREDTON,375000
2017,ALFREDTON,410000
2007,ALPHINGTON,740000
2008,ALPHINGTON,815000
2009,ALPHINGTON,836500
2010,ALPHINGTON,1000000
2011,ALPHINGTON,985000
2012,ALPHINGTON,1000000
2013,ALPHINGTON,1080000
2014,ALPHINGTON,1028000
2015,ALPHINGTON,1296500
2016,ALPHINGTON,1552500
2017,ALPHINGTON,1778500
2007,ALTONA,416000
2008,ALTONA,480000
2009,ALTONA,498000
2010,ALTONA,628500
2011,ALTONA,575000
2012,ALTONA,570000
2013,ALTONA,575000
2014,ALTONA,649000
2015,ALTONA,720000
2016,ALTONA,825000
2017,ALTONA,950000
2007,ALTONA EAST,391500
2008,ALTONA EAST,412500
2009,ALTONA EAST,434500
2010,ALTONA EAST,562500
2011,ALTONA EAST,525000
2012,ALTONA EAST,550000
2013,ALTONA EAST,561000
2014,ALTONA EAST,605000
2015,ALTONA EAST,650000
2016,ALTONA EAST,795000
2017,ALTONA EAST,850000
2007,ALTONA MEADOWS,280000
2008,ALTONA MEADOWS,310000
2009,ALTONA MEADOWS,350000
2010,ALTONA MEADOWS,385000
2011,ALTONA MEADOWS,395000
2012,ALTONA MEADOWS,375000
2013,ALTONA MEADOWS,390000
2014,ALTONA MEADOWS,415000
2015,ALTONA MEADOWS,440000
2016,ALTONA MEADOWS,495000
2017,ALTONA MEADOWS,622500
2007,ALTONA NORTH,355000
2008,ALTONA NORTH,401000
2009,ALTONA NORTH,417500
2010,ALTONA NORTH,515000
2011,ALTONA NORTH,520000
2012,ALTONA NORTH,487500
2013,ALTONA NORTH,510000
2014,ALTONA NORTH,555000
2015,ALTONA NORTH,645000
2016,ALTONA NORTH,725500
2017,ALTONA NORTH,825000
2007,ANGLESEA,445000
2008,ANGLESEA,455000
2009,ANGLESEA,512500
2010,ANGLESEA,580000
2011,ANGLESEA,600500
2012,ANGLESEA,587500
2013,ANGLESEA,550000
2014,ANGLESEA,612500
2015,ANGLESEA,635000
2016,ANGLESEA,655000
2017,ANGLESEA,790000
2007,APOLLO BAY,415000
2008,APOLLO BAY,362500
2009,APOLLO BAY,430000
2010,APOLLO BAY,442500
2011,APOLLO BAY,495000
2012,APOLLO BAY,432500
2013,APOLLO BAY,450000
2014,APOLLO BAY,460000
2015,APOLLO BAY,435000
2016,APOLLO BAY,480000
2017,APOLLO BAY,543500
2007,ARARAT,148000
2008,ARARAT,144500
2009,ARARAT,159500
2010,ARARAT,174000
2011,ARARAT,169000
2012,ARARAT,165000
2013,ARARAT,180000
2014,ARARAT,200000
2015,ARARAT,210000
2016,ARARAT,204500
2017,ARARAT,200000
2007,ARDEER,235000
2008,ARDEER,272000
2009,ARDEER,311000
2010,ARDEER,380000
2011,ARDEER,360000
2012,ARDEER,342000
2013,ARDEER,330000
2014,ARDEER,360000
2015,ARDEER,381500
2016,ARDEER,520000
2017,ARDEER,600000
2007,ARMADALE,1225000
2008,ARMADALE,1415000
2009,ARMADALE,1605000
2010,ARMADALE,1800000
2011,ARMADALE,1615000
2012,ARMADALE,1505000
2013,ARMADALE,1675000
2014,ARMADALE,1750000
2015,ARMADALE,2170000
2016,ARMADALE,2390000
2017,ARMADALE,2107500
2007,ARMSTRONG CREEK,-
2008,ARMSTRONG CREEK,-
2009,ARMSTRONG CREEK,-
2010,ARMSTRONG CREEK,-
2011,ARMSTRONG CREEK,205000
2012,ARMSTRONG CREEK,362500
2013,ARMSTRONG CREEK,467500
2014,ARMSTRONG CREEK,441500
2015,ARMSTRONG CREEK,440000
2016,ARMSTRONG CREEK,453000
2017,ARMSTRONG CREEK,475000
2007,ARTHURS SEAT,385000
2008,ARTHURS SEAT,442500
2009,ARTHURS SEAT,410000
2010,ARTHURS SEAT,470000
2011,ARTHURS SEAT,662500
2012,ARTHURS SEAT,715000
2013,ARTHURS SEAT,480000
2014,ARTHURS SEAT,705000
2015,ARTHURS SEAT,820000
2016,ARTHURS SEAT,798500
2017,ARTHURS SEAT,992500
2007,ASCOT (GREATER BENDIGO),270000
2008,ASCOT (GREATER BENDIGO),295000
2009,ASCOT (GREATER BENDIGO),278000
2010,ASCOT (GREATER BENDIGO),330000
2011,ASCOT (GREATER BENDIGO),322000
2012,ASCOT (GREATER BENDIGO),350000
2013,ASCOT (GREATER BENDIGO),349000
2014,ASCOT (GREATER BENDIGO),339000
2015,ASCOT (GREATER BENDIGO),350000
2016,ASCOT (GREATER BENDIGO),370000
2017,ASCOT (GREATER BENDIGO),358000
2007,ASCOT VALE,600000
2008,ASCOT VALE,669500
2009,ASCOT VALE,625500
2010,ASCOT VALE,750000
2011,ASCOT VALE,735000
2012,ASCOT VALE,701500
2013,ASCOT VALE,735000
2014,ASCOT VALE,810000
2015,ASCOT VALE,883000
2016,ASCOT VALE,1020000
2017,ASCOT VALE,1192500
2007,ASHBURTON,815000
2008,ASHBURTON,809000
2009,ASHBURTON,790000
2010,ASHBURTON,985000
2011,ASHBURTON,890000
2012,ASHBURTON,870000
2013,ASHBURTON,993000
2014,ASHBURTON,1200000
2015,ASHBURTON,1435000
2016,ASHBURTON,1567500
2017,ASHBURTON,1815000
